CourseName,Module,Topic,TotalNumUsers,UsersVisited,AverageTimeSpent
PS4033 - RESEARCH METHODS 2023/4 SEM2,"At Home Lab 6","Submit At Home Lab 6 Here",99,45,"0:19:50"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Solution","at_home_lab_6_solution.pdf",99,51,"0:21:35"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Solution","at_home_lab_6_solution.spv",99,46,"0:05:36"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Solution","Practical 4 Data_new file.sav",99,35,"0:07:28"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"At Home Lab 7","at_home_lab_7.pdf",99,82,"0:55:24"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"At Home Lab 7","Lesson 42 Exercise File 1.sav",99,76,"0:16:56"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"At Home Lab 7","Submit At Home Lab 7 Here",99,51,"0:22:16"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Solution","at_home_lab_7_solution.pdf",99,21,"0:06:28"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Solution","Masked Testimony.sav",99,10,"0:04:36"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"At Home Lab 8","at_home_lab_8.pdf",99,78,"0:30:34"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"At Home Lab 8","Marriage Satisfaction.sav",99,61,"0:07:26"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"At Home Lab 8","Self Esteem.sav",99,69,"0:06:04"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"At Home Lab 8","Submit At Home Lab 8 Here",99,52,"0:22:48"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Solution","at_home_lab_8_solution.pdf",99,19,"0:05:29"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Solution","At Home Lab Solutions.spv",99,11,"0:01:45"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Assignment","Assignment Instructions.pdf",99,97,"2:24:17"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Assignment","many_labs_COVID_data_SAMPLE.sav",99,93,"0:09:47"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Assignment","code_book.xlsx",99,91,"0:54:12"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Assignment","full_questionnaire.docx",99,83,"0:49:24"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Assignment","Azevedo et al. Social & Moral Psychology of COVID-19.pdf",99,81,"0:26:46"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Assignment","Decision_Tree.png",99,88,"0:42:12"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Assignment","many_labs_COVID_data_FULL.sav",99,44,"0:30:07"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Assignment","Submit Pre-Registration Here",99,60,"0:18:23"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"Assignment","Submit Full Report Here",99,2,"0:02:57"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"24 Hour Exam","24 Hour Exam",99,13,"0:10:39"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"24 Hour Exam","24hr_Exam_Paper.pdf",99,39,"0:22:43"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"24 Hour Exam","Answer Template.docx",99,37,"0:04:55"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"24 Hour Exam","Appendix 1 - formulas.pdf",99,27,"0:03:00"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"24 Hour Exam","Appendix 2 - Standard Normal Distribution Table.pdf",99,23,"0:04:55"
PS4033 - RESEARCH METHODS 2023/4 SEM2,"24 Hour Exam","Appendix 3 - full paper (Section C).pdf",99,23,"0:08:39"
